protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee73,64,6,0xcadd,502,331,361,0,2,0,0x0010,0.000029084,N/A,N/A,14.682056309,0.000029084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf08e,64,6,0xc8b7,502,804,877,12,0,0,0x0018,N/A,12,12,14.699188258,0.017131949,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa695,64,6,0x12b2,509,889,804,11,0,0,0x0018,0.000798232,11,11,14.699986490,0.000798232,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf08f,64,6,0xc8c2,502,815,889,0,0,0,0x0010,0.000029625,N/A,N/A,14.700016115,0.000029625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf090,64,6,0xc8b5,502,815,889,12,0,0,0x0018,N/A,12,12,14.900867282,0.200851167,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa696,64,6,0x12b1,509,901,815,11,0,0,0x0018,0.000844248,11,11,14.901711530,0.000844248,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf091,64,6,0xc8c0,502,826,901,0,0,0,0x0010,0.000033251,N/A,N/A,14.901744781,0.000033251,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf092,64,6,0xc8b3,502,826,901,12,0,0,0x0018,N/A,12,12,15.102344077,0.200599296,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa697,64,6,0x12b0,509,913,826,11,0,0,0x0018,0.000637164,11,11,15.102981241,0.000637164,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf093,64,6,0xc8be,502,837,913,0,0,0,0x0010,0.000036007,N/A,N/A,15.103017248,0.000036007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
